"Id","Last"
1,587159944704
2,1
4,0
5,1
6,12
9,1461
10,1
12,-44338080577030900982743040
14,4370492415393241525383069696
17,396961106988200032731136
19,1
22,1
25,1
27,5377175197177656377344
29,1155
30,2
31,130
32,-4420
33,1
37,0
38,13995414281804369448738521874432
39,1234567
42,1
43,5604795887418347433754624
45,1
47,12907
48,0
50,93953872
54,32
55,143
56,17884809465764025204736
58,154
60,1
62,2
68,1
70,0
71,8
74,4
78,1
79,159
80,1
81,31956860414361652428800
83,7
84,1
85,344
87,1
88,0
90,96147057896403
93,1
96,136
97,0
98,3
99,-2248164179975436015585842861965312
101,2856800670438221006835226863562915840
103,1
106,3
114,335
115,37022
116,24
117,2
120,5
121,1
122,1
124,267786672
125,1
127,16
128,3
129,-48328250911682851766272
131,4798
138,16
140,1
142,1
143,2
144,1670
145,1
146,2
148,1116469301711872959971328
151,126765060022822824041242427392
153,3
154,1
156,170465884023737338011058176
157,301
161,1
169,0
170,1
172,214
173,187
175,1
180,1
182,1
183,136
184,5921542148922744
187,499
189,59080818394814451023872
191,1
193,659
194,57
195,0
196,226257606
197,131
199,109
200,82639043697427984873947136
201,1
206,1444444444441
207,1
209,9
214,1
216,4
218,-22122724589984188885102493696
228,234
230,2
231,1
232,-24
233,5
234,1
235,693
236,0
239,5662052980
240,1502
243,40845722318
247,68207
248,1
250,270604
252,1
253,15
257,1
260,0
261,9
265,1
267,0
269,21
270,0
273,23587286905945796608
274,5
279,1
281,23
283,5750323398372671488
285,92470734734
287,90486
291,551343268152723114392721293312
292,1
301,1
307,-1
309,5438674473932192731126300672
312,3921
314,5807934012002116856809135476419067904
316,2
321,464092875294121262149100621159989248
322,4
324,2147483676
325,320
330,5
331,5818
333,5
337,809806239656454656
338,1
341,47803963
342,10235749
343,769246866811235658550501965824
344,9
345,1
346,4522572150630
348,-118
349,78502725751
351,1
353,1
355,1
356,1
357,0
358,26728034
360,5
362,135085171767299216
363,447362835296127408840483612175368192
364,3
365,149057
367,97
368,1
369,3
370,1
371,10696620765063346651136
375,102
376,147
380,144
381,181
382,0
383,5
384,221
385,12
388,37
389,7438887113266980
390,1003058858321606757896228438016
391,1534674653372294822066543680139133190144
393,1
396,6
397,1
398,3
399,1
401,2600
402,1
404,29870452000458480287744
405,2333521433367182848
407,2
409,15
411,80
412,58
413,2
414,1
416,106929
417,5
418,324259173170675968
419,200682
422,387475260
423,1297878873787651325952
424,5
427,11146
432,5
433,139
435,172405570969
440,23
442,1
445,297062224811765646868920880070656
446,132
449,8
450,1180610
452,1210107565283851685068800
453,677445055244242255872
454,1
456,4186526618878
457,46663520
459,7
460,7
462,1208925819614629174706176
465,83
468,26675288889160044544
471,0
472,40619833705913216
473,2
474,210
476,63
478,9
480,2
481,0
482,1
484,0
485,16
487,15
488,396085241270480354148352
489,2
491,1
493,1
495,1240221180953113600
496,128
497,0
498,124192270
500,173
501,2
504,1
507,2
508,115
509,4
512,1
513,7
514,1
522,77572756670578160
523,12
524,697
527,7
528,1
529,2
530,1
531,3
532,1
536,2
537,2
538,9
539,3
542,279
543,171
544,1
545,1
547,62
