주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류
야간,금,1,1,0,0,0,경기,성남시,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
야간,금,1,4,2,1,0,전남,곡성군,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차
야간,금,1,1,0,0,0,충남,서산시,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
야간,금,1,1,0,0,0,대구,서구,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,이륜차
주간,금,1,2,1,0,0,서울,영등포구,차대차,측면충돌,중앙선 침범,단일로,교량위,이륜차,화물차
주간,금,1,1,0,0,0,광주,서구,차대차,측면충돌,안전거리 미확보,단일로,기타단일로,이륜차,승용차
주간,금,1,3,2,0,0,대구,달성군,차대차,측면충돌,과속,교차로,교차로내,승용차,화물차
주간,금,1,1,0,0,0,경기,용인시,차대사람,횡단중,신호위반,단일로,기타단일로,화물차,보행자
주간,금,1,1,0,0,0,충남,서산시,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,이륜차
야간,금,1,2,0,1,0,전남,광양시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차
야간,금,1,1,0,0,0,광주,광산구,차량단독,전도,안전운전 의무 불이행,단일로,고가도로위,승용차,없음
야간,금,1,1,0,0,0,부산,중구,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
야간,금,1,1,0,0,0,충북,음성군,차량단독,도로이탈,안전운전 의무 불이행,교차로,교차로부근,승용차,없음
야간,목,1,1,0,0,0,경기,화성시,차량단독,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,없음
야간,목,1,1,0,0,0,강원,원주시,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
주간,목,1,1,0,0,0,경기,고양시,차량단독,전도,안전운전 의무 불이행,단일로,기타단일로,자전거,없음
주간,목,1,1,0,0,0,충남,논산시,차대차,추돌,과속,단일로,기타단일로,특수차,이륜차
주간,목,1,1,0,0,0,광주,동구,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자
주간,목,1,3,2,0,0,경남,고성군,차대사람,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
주간,목,1,8,0,7,0,경기,안산시,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,보행자
야간,목,1,2,1,0,0,전남,목포시,차량단독,전도,과속,단일로,기타단일로,승용차,없음
야간,목,1,1,0,0,0,서울,강서구,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
야간,목,1,2,1,0,0,경기,시흥시,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차
야간,목,1,1,0,0,0,경기,이천시,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자
야간,목,1,1,0,0,0,부산,사상구,차량단독,공작물충돌,안전운전 의무 불이행,기타,기타,승용차,없음
야간,목,1,1,0,0,0,경기,고양시,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
야간,목,1,1,0,0,0,서울,광진구,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,없음
야간,수,1,2,0,1,0,서울,서대문구,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차
야간,수,1,1,0,0,0,경기,양평군,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,없음
야간,수,1,1,0,0,0,경기,남양주시,차대차,기타,중앙선 침범,단일로,기타단일로,원동기장치자전거,승용차
야간,수,1,2,0,1,0,서울,동작구,차대차,정면충돌,중앙선 침범,단일로,고가도로위,이륜차,승용차
야간,수,1,1,0,0,0,부산,기장군,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자
야간,수,1,5,1,3,0,충남,예산군,차대차,측면충돌,신호위반,교차로,교차로내,승용차,화물차
주간,수,1,3,0,2,0,인천,남구,차대차,추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차
주간,수,1,3,1,1,0,전남,여수시,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차
주간,수,1,1,0,0,0,충북,제천시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,이륜차,화물차
주간,수,1,3,2,0,0,세종,세종,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차
주간,수,1,1,0,0,0,강원,춘천시,차량단독,도로이탈,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음
주간,수,1,2,1,0,0,경기,화성시,차대차,측면충돌,직진 및 우회전차의 통행방해,교차로,교차로내,승용차,농기계
주간,수,1,1,0,0,0,경북,의성군,차대차,기타,중앙선 침범,단일로,기타단일로,승용차,이륜차
야간,수,1,2,1,0,0,충북,충주시,차대차,기타,신호위반,교차로,교차로내,승용차,원동기장치자전거
야간,화,1,1,0,0,0,서울,서초구,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자
야간,화,1,1,0,0,0,충남,금산군,차대사람,횡단중,안전운전 의무 불이행,기타,기타,승용차,보행자
주간,화,1,2,0,1,0,경남,밀양시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,농기계
주간,화,1,3,0,2,0,경북,김천시,차대차,측면충돌,교차로 통행방법 위반,교차로,교차로내,이륜차,승합차
주간,화,1,2,0,1,0,경기,고양시,차대차,기타,중앙선 침범,교차로,교차로부근,승용차,화물차
주간,화,1,1,0,0,0,경남,고성군,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음
주간,화,1,1,0,0,0,충남,아산시,차대사람,횡단중,신호위반,교차로,교차로내,화물차,보행자
주간,화,1,1,0,0,0,인천,서구,차대사람,기타,과속,단일로,기타단일로,화물차,보행자
주간,화,1,3,0,2,0,전북,군산시,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차
주간,화,1,4,0,3,0,대전,대덕구,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차
야간,화,1,1,0,0,0,전남,목포시,차대사람,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자
야간,화,1,1,0,0,0,경기,파주시,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음
야간,월,1,1,0,0,0,경남,진주시,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,승합차,보행자
야간,월,1,1,0,0,0,경남,김해시,차대차,측면충돌,신호위반,교차로,교차로내,이륜차,화물차
야간,월,1,4,2,1,0,경북,영천시,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,농기계
야간,월,1,1,0,0,0,부산,북구,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자
주간,월,1,1,0,0,0,강원,평창군,차량단독,전복,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음
주간,월,1,2,1,0,0,충남,금산군,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차
주간,월,1,1,0,0,0,전남,나주시,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음
주간,월,1,4,1,2,0,서울,중구,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,자전거
