Çà,¿­,°ª
2,C,
2,D,
2,F,
3,C,
3,D,
3,F,
4,D,
4,E,
4,G,
5,D,
5,E,
5,G,
6,D,
6,E,
6,F,
7,D,
7,E,
7,F,
8,D,
8,E,
8,F,
9,C,
9,D,
9,E,
10,C,
10,D,
10,E,
11,C,
11,D,
11,E,
12,J,
12,K,
12,L,
13,J,
13,K,
13,L,
14,J,
14,K,
14,L,
15,J,
15,K,
15,L,
16,J,
16,K,
16,L,
17,J,
17,K,
17,L,
18,J,
18,K,
18,L,
19,J,
19,K,
19,L,
20,J,
20,K,
20,L,
21,J,
21,K,
21,L,
22,M,
22,N,
22,O,
23,M,
23,N,
23,O,
24,M,
24,N,
24,O,
25,M,
25,N,
25,P,
26,M,
26,N,
26,P,
27,M,
27,N,
27,P,
28,M,
28,N,
28,O,
28,P,
29,M,
29,N,
29,O,
29,P,
30,M,
30,N,
30,O,
30,P,
31,M,
31,N,
31,O,
31,P,
32,C,
32,D,
32,I,
33,C,
33,D,
33,I,
34,E,
34,F,
34,I,
35,E,
35,F,
35,I,
36,E,
36,F,
36,I,
37,H,
37,I,
38,H,
38,I,
39,H,
39,I,
40,H,
40,I,
41,H,
41,I,
42,B,
42,J,
42,K,
43,B,
43,J,
43,K,
44,B,
44,K,
44,L,
44,M,
45,B,
45,K,
45,L,
45,M,
46,B,
46,K,
46,L,
46,M,
47,A,
47,C,
47,D,
47,O,
48,A,
48,C,
48,D,
48,O,
49,A,
49,D,
49,E,
49,N,
50,A,
50,D,
50,E,
50,N,
51,A,
51,D,
51,E,
51,N,
