Time,Temp.,Windchill,Heat Index,Humidity,Pressure,Dew Point,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
2015-12-31 02:00:00,7.8,7.1,,0.89,1017.0,6.1,8.0,NNE,5.6,0.0,0.8,None,Overcast
2015-12-31 03:00:00,7.2,5.9,,0.9,1016.5,5.6,12.9,Variable,7.4,0.0,0.3,None,Overcast
2015-12-31 04:00:00,7.2,,,0.9,1016.7,5.6,12.9,Calm,0.0,0.0,0.0,None,Overcast
2015-12-31 05:00:00,7.2,5.9,,0.86,1015.9,5.0,14.5,NW,7.4,0.0,0.0,None,Overcast
2015-12-31 06:00:00,7.2,6.4,,0.9,1016.2,5.6,11.3,West,5.6,0.0,0.0,None,Overcast
2015-12-31 07:00:00,7.8,7.1,,0.86,1016.6,5.6,16.1,Variable,5.6,0.0,0.0,None,Clear
2015-12-31 08:00:00,7.8,6.6,,0.86,1016.9,5.6,16.1,Variable,7.4,0.0,0.0,None,Clear
2015-12-31 09:00:00,8.3,,,0.83,1017.7,5.6,14.5,WNW,5.6,0.0,0.0,None,Overcast
2015-12-31 10:00:00,8.3,,,0.8,1018.5,5.0,16.1,Variable,7.4,0.0,0.0,None,Clear
2015-12-31 11:00:00,8.3,,,0.68,1019.0,2.8,16.1,WNW,9.3,0.0,0.0,None,Overcast
2015-12-31 12:00:00,8.3,,,0.66,1018.9,2.2,16.1,NW,16.7,0.0,0.0,None,Overcast
2015-12-31 13:00:00,8.3,,,0.61,1017.7,1.1,16.1,NW,14.8,29.6,0.0,None,Overcast
2015-12-31 14:00:00,8.3,,,0.61,1017.2,1.1,16.1,Variable,9.3,0.0,0.0,None,Overcast
2015-12-31 15:00:00,8.3,,,0.59,1016.9,0.6,16.1,WNW,9.3,0.0,0.0,None,Overcast
2015-12-31 16:00:00,8.9,,,0.56,1016.7,0.6,16.1,North,0.0,0.0,0.0,None,Overcast
2015-12-31 17:00:00,8.3,,,0.59,1017.9,0.6,16.1,Variable,9.3,0.0,0.0,None,Overcast
2015-12-31 18:00:00,7.8,5.5,,0.54,1018.0,-1.1,16.1,WNW,13.0,0.0,0.0,None,Overcast
2015-12-31 19:00:00,7.8,6.6,,0.56,1018.5,-0.6,16.1,WNW,7.4,0.0,0.0,None,Overcast
2015-12-31 20:00:00,7.2,6.4,,0.56,1018.4,-1.1,16.1,Variable,5.6,0.0,0.0,None,Overcast
2015-12-31 21:00:00,7.2,5.5,,0.52,1018.8,-2.2,16.1,Variable,9.3,0.0,0.0,None,Overcast
2015-12-31 22:00:00,6.7,3.6,,0.51,1019.1,-2.8,16.1,WNW,16.7,31.5,0.0,None,Overcast
2015-12-31 23:00:00,6.1,,,0.51,1019.0,-3.3,16.1,North,0.0,0.0,0.0,None,Overcast
2016-01-01 00:00:00,5.6,3.2,,0.58,1018.8,-2.2,16.1,WNW,11.1,0.0,0.0,None,Overcast
2016-01-01 01:00:00,5.6,4.0,,0.53,1018.5,-3.3,16.1,Variable,7.4,0.0,0.0,None,Overcast
2016-01-01 02:00:00,5.6,4.0,,0.51,1017.9,-3.9,16.1,Variable,7.4,0.0,0.0,None,Overcast
2016-01-01 03:00:00,5.0,3.9,,0.53,1017.8,-3.9,16.1,Variable,5.6,0.0,0.0,None,Overcast
2016-01-01 04:00:00,5.0,3.3,,0.55,1017.7,-3.3,16.1,West,7.4,0.0,0.0,None,Overcast
2016-01-01 05:00:00,5.0,1.8,,0.55,1017.7,-3.3,16.1,West,14.8,0.0,0.0,None,Overcast
2016-01-01 06:00:00,4.4,0.8,,0.58,1017.0,-3.3,16.1,West,16.7,25.9,0.0,None,Overcast
2016-01-01 07:00:00,4.4,1.7,,0.58,1017.5,-3.3,16.1,WNW,11.1,0.0,0.0,None,Overcast
2016-01-01 08:00:00,3.9,,,0.6,1017.7,-3.3,16.1,Calm,0.0,0.0,0.0,None,Overcast
